,key,de-DE,en-US,da-DK,fi-FI,sv-SE
,server.config.parameter.system.example_plugin.easydb_group.label,Auswahl einer Gruppe,Selection of a Group,Selection of a Group,Ryhmän valinta,Selection of a Group
,server.config.parameter.system.example_plugin.easydb_group.label|hint,"`type: int
plugin_type: group_easydb_select`","`type: int
plugin_type: group_easydb_select`","`type: int
plugin_type: group_easydb_select`",`type: int\nplugin_type: group_easydb_select`,`type: int\nplugin_type: group_easydb_select`
,server.config.parameter.system.example_plugin.email.label,Textfeld für Mailadressen,Text field for email addresses,Text field for email addresses,Tekstikenttä sähköpostiosoitteita varten,Text field for email addresses
,server.config.parameter.system.example_plugin.email.label|hint,`type: email`,`type: email`,`type: email`,`type: email`,`type: email`
,server.config.parameter.system.example_plugin.example_base_config.label,"Komplexes Eingabefeld, dass durch eine Erweiterung der Basiskonfiguration durch das Plugin definiert wird",Complex input field which is defined by a base configuration enhancement by the plugin,Complex input field which is defined by a base configuration enhancement by the plugin,"Syöttökenttä, joka määritetään laajentamalla peruskokoonpanoa laajennuksen avulla",Complex input field which is defined by a base configuration enhancement by the plugin
,server.config.parameter.system.example_plugin.example_base_config.label|hint,"`type: text
plugin_type: example-base-config
store_as_json: true`","`type: text
plugin_type: example-base-config
store_as_json: true`","`type: text
plugin_type: example-base-config
store_as_json: true`",`type: text\nplugin_type: example-base-config\nstore_as_json: true`,`type: text\nplugin_type: example-base-config\nstore_as_json: true`
,server.config.parameter.system.example_plugin.int.label,Zahlenfeld,Number,Number,Numero,Number
,server.config.parameter.system.example_plugin.int.label|hint,`type: int`,`type: int`,`type: int`,`type: int`,`type: int`
,server.config.parameter.system.example_plugin.profile_mapping.label,Auswahl eines Metadatenmappings,Selection of a Metadata Mapping,Selection of a Metadata Mapping,Metatietokartoituksen valinta,Selection of a Metadata Mapping
,server.config.parameter.system.example_plugin.profile_mapping.label|hint,"`type: int
plugin_type: profile_mapping_select`",Enhancement defined by the plugin,Enhancement defined by the plugin,`type: int\nplugin_type: profile_mapping_select`,Enhancement defined by the plugin
,server.config.parameter.system.example_plugin.select.label,Dropdown Menü (Select),Dropdown Menu (Select),Dropdown Menu (Select),Alasvetovalikko (Valitse),Dropdown Menu (Select)
